Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,Fulton,5,4,1
,Garrard,10,9,1
,Graves,17,14,3
,Grayson,11,7,4
,Green,4,4,0
,Hart,13,9,4
,Hickman,3,3,0
,Hopkins,25,18,7
,Jackson County Police Department,4,4,0
,Johnson,12,8,4
,Knott,9,6,3
,Laurel,40,27,13
,Lee,3,2,1
,Letcher,12,6,6
,Lewis,8,5,3
,Lincoln,6,5,1
,Livingston,9,7,2
,Logan,24,18,6
,Lyon,5,4,1
,Madison,33,26,7
,Magoffin,11,6,5
,Marion,9,6,3
,Marshall,23,21,2
,Martin,6,4,2
,Mason,15,13,2
,McCracken,44,38,6
,McCreary,6,5,1
,Mercer,11,8,3
,Metcalfe,4,4,0
,Montgomery,17,15,2
,Muhlenberg,17,14,3
,Nicholas,2,1,1
,Owsley,4,3,1
,Perry,19,10,9
,Pike,20,9,11
,Robertson,2,1,1
,Rockcastle,7,5,2
,Rowan,11,8,3
,Russell,12,10,2
,Simpson,13,11,2
,Taylor,12,9,3
,Todd,5,4,1
,Union,10,9,1
,Washington,12,6,6
,Wayne,11,9,2
,Webster,9,7,2
,Whitley,20,15,5
LOUISIANA-Metropolitan Counties,Ascension,312,269,43
,Caddo,682,463,219
,Calcasieu,849,525,324
,East Baton Rouge,836,716,120
,Iberia,318,131,187
,Iberville,141,72,69
,Jefferson,"1,445","1,001",444
,Lafourche,297,235,62
,Livingston,254,254,0
,Plaquemines,196,196,0
,Pointe Coupee,100,43,57
,Rapides,498,498,0
,St. Bernard,251,235,16
,St. Charles,356,248,108
,St. James,95,71,24
,St. John the Baptist,246,245,1
,Tangipahoa,241,95,146
,Vermilion,125,103,22
,Webster,124,46,78
,West Baton Rouge,177,125,52
LOUISIANA-Nonmetropolitan Counties,Allen,62,24,38
,Assumption,100,59,41
,Caldwell,32,32,0
,Claiborne,101,39,62
,East Carroll,167,15,152
,Jefferson Davis,71,43,28
,Natchitoches,175,148,27
,Richland,118,102,16
,Sabine,80,80,0
,St. Landry,218,94,124
,St. Mary,174,155,19
,Vernon,156,61,95
,Washington,77,58,19
,West Carroll,15,15,0
MAINE-Metropolitan Counties,Androscoggin,20,19,1
,Cumberland,72,60,12
,Penobscot,34,29,5
,Sagadahoc,21,19,2
,York,31,27,4
MAINE-Nonmetropolitan Counties,Aroostook,18,13,5
,Franklin,21,20,1
,Hancock,20,17,3
,Kennebec,32,29,3
,Knox,21,20,1
,Lincoln,24,22,2
,Oxford,30,28,2
,Piscataquis,17,7,10
,Somerset,17,15,2
,Waldo,20,18,2
,Washington,10,9,1
MARYLAND-Metropolitan Counties,Allegany,32,28,4
,Anne Arundel,94,68,26
,Anne Arundel County Police Department,952,713,239
,Baltimore County,84,70,14
,Baltimore County Police Department,"2,066","1,833",233
,Calvert,160,133,27
,Carroll,151,114,37
,Cecil,98,79,19
,Charles,420,296,124
,Frederick,231,170,61
,Harford,379,287,92
,Howard,71,51,20
,Howard County Police Department,648,465,183
,Montgomery,169,141,28
,Montgomery County Police Department,"1,905","1,384",521
,Prince George's,314,226,88
,Prince George's County Police Department,"1,931","1,697",234
,Queen Anne's,65,60,5
,Somerset,26,23,3
,St. Mary's,273,138,135
,Washington,246,95,151
,Wicomico,105,85,20
,Worcester,60,48,12
MARYLAND-Nonmetropolitan Counties,Caroline,33,28,5
,Dorchester,42,38,4
,Garrett,54,29,25
,Kent,23,20,3
,Talbot,32,29,3
MICHIGAN-Metropolitan Counties,Barry,53,30,23
,Bay,83,36,47
,Berrien,155,137,18
,Calhoun,68,61,7
,Cass,70,33,37
,Clinton,61,26,35
,Eaton,135,71,64
,Genesee,262,232,30
,Ingham,177,97,80
,Jackson,137,57,80
,Kalamazoo,222,151,71
,Kent,509,190,319
,Lapeer,122,46,76
,Livingston,107,51,56
,Macomb,471,234,237
,Midland,62,30,32
,Monroe,152,72,80
,Montcalm,55,28,27
,Muskegon,110,47,63
,Oakland,983,817,166
,Ottawa,166,138,28
,Saginaw,128,66,62
,St. Clair,183,76,107
,Van Buren,103,54,49
,Washtenaw,305,124,181
,Wayne,836,577,259
MICHIGAN-Nonmetropolitan Counties,Alcona,23,12,11
,Alger,14,9,5
,Allegan,100,50,50
,Alpena,23,12,11
,Antrim,43,19,24
,Arenac,23,13,10
,Baraga,13,6,7
,Benzie,33,13,20
,Branch,35,16,19
,Charlevoix,39,19,20
,Cheboygan,37,20,17
,Chippewa,32,14,18
,Clare,31,26,5
,Crawford,25,24,1
,Delta,28,14,14
,Dickinson,29,12,17
,Emmet,48,24,24
,Gladwin,37,14,23
,Gogebic,22,15,7
,Grand Traverse,121,65,56
,Gratiot,37,24,13
,Hillsdale,30,19,11
,Houghton,29,28,1
,Huron,37,22,15
,Ionia,46,20,26
,Iosco,22,4,18
,Iron,19,9,10
,Isabella,47,20,27
,Kalkaska,35,16,19
,Keweenaw,8,6,2
,Lake,66,16,50
,Leelanau,36,18,18
,Lenawee,107,41,66
,Luce,6,5,1
,Mackinac,28,12,16
,Manistee,33,15,18
,Marquette,56,22,34
,Mason,46,18,28
,Mecosta,47,22,25
,Menominee,32,15,17
,Missaukee,2,1,1
,Montmorency,30,13,17
,Newaygo,68,25,43
,Oceana,35,20,15
,Ogemaw,36,16,20
,Ontonagon,8,8,0
,Osceola,36,18,18
,Oscoda,17,13,4
,Otsego,24,11,13
,Presque Isle,12,12,0
,Roscommon,37,24,13
,Sanilac,59,24,35
,Schoolcraft,2,2,0
,Shiawassee,66,35,31
,St. Joseph,42,18,24
,Tuscola,46,22,24
,Wexford,56,23,33
MINNESOTA-Metropolitan Counties,Anoka,254,129,125
,Benton,70,24,46
,Blue Earth,86,27,59
,Carlton,45,25,20
,Carver,145,75,70
,Chisago,77,40,37
,Clay,68,32,36
,Dakota,179,82,97
,Dodge,34,22,12
,Fillmore,30,20,10
,Hennepin,756,319,437
,Houston,29,13,16
,Isanti,53,20,33
,Le Sueur,33,19,14
,Mille Lacs,71,24,47
,Nicollet,41,14,27
,Olmsted,159,65,94
,Polk,44,31,13
,Ramsey,408,228,180
,Scott,128,42,86
,Sherburne,270,83,187
,Sibley,24,12,12
